1.62E+12,1080,HTTP Request,200,OK,threadgroup 1-3,text,TRUE,,462,327,5,5,https://petstore.swagger.io/v2/store/order,1072,0,831
1.62E+12,1896,HTTP Request,200,OK,threadgroup 1-1,text,TRUE,,462,327,5,5,https://petstore.swagger.io/v2/store/order,1896,0,1646
1.62E+12,292,HTTP Request,200,OK,threadgroup 1-3,text,TRUE,,439,328,5,5,https://petstore.swagger.io/v2/store/order/6,290,0,0
1.62E+12,272,HTTP Request,200,OK,threadgroup 1-1,text,TRUE,,439,328,5,5,https://petstore.swagger.io/v2/store/order/6,270,0,0
1.62E+12,1277,HTTP Request,200,OK,threadgroup 1-4,text,TRUE,,462,327,5,5,https://petstore.swagger.io/v2/store/order,1276,0,969
1.62E+12,262,HTTP Request,200,OK,threadgroup 1-4,text,TRUE,,439,328,5,5,https://petstore.swagger.io/v2/store/order/6,261,0,0
1.62E+12,1096,HTTP Request,200,OK,threadgroup 1-1,text,TRUE,,419,309,5,5,https://petstore.swagger.io/v2/store/inventory,1095,0,845
1.62E+12,2089,HTTP Request,200,OK,threadgroup 1-5,text,TRUE,,462,327,4,4,https://petstore.swagger.io/v2/store/order,2086,0,1840
1.62E+12,1038,HTTP Request,200,OK,threadgroup 1-4,text,TRUE,,419,309,4,4,https://petstore.swagger.io/v2/store/inventory,1037,0,787
1.62E+12,249,HTTP Request,200,OK,threadgroup 1-5,text,TRUE,,439,328,3,3,https://petstore.swagger.io/v2/store/order/6,244,0,0
1.62E+12,1008,HTTP Request,200,OK,threadgroup 1-5,text,TRUE,,419,309,3,3,https://petstore.swagger.io/v2/store/inventory,1007,0,767
1.62E+12,3108,HTTP Request,200,OK,threadgroup 1-3,text,TRUE,,419,309,2,2,https://petstore.swagger.io/v2/store/inventory,3107,0,2867
1.62E+12,25933,HTTP Request,200,OK,threadgroup 1-2,text,TRUE,,462,327,1,1,https://petstore.swagger.io/v2/store/order,25932,0,25596
1.62E+12,258,HTTP Request,200,OK,threadgroup 1-2,text,TRUE,,439,328,1,1,https://petstore.swagger.io/v2/store/order/6,257,0,0
1.62E+12,1159,HTTP Request,200,OK,threadgroup 1-2,text,TRUE,,419,309,1,1,https://petstore.swagger.io/v2/store/inventory,1158,0,861
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
